,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：364yd,Hdcp：,PAR：3,Reg.：172yd,Hdcp：,PAR：4,Reg.：407yd,Hdcp：
1,フェアウェイが広く全体が上がっている,フェアウェイが広く全体が上がっている,フェアウェイが広く全体が上がっている,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール,長いミドルホール,長いミドルホール,長いミドルホール
2,難易度1位/18ホール中 平均スコア5.47 平均パット数1.9 パーオン率12.3% フェアウェイ率52.5% OB率24.8% バンカー率37.0%,難易度1位/18ホール中 平均スコア5.47 平均パット数1.9 パーオン率12.3% フェアウェイ率52.5% OB率24.8% バンカー率37.0%,難易度1位/18ホール中 平均スコア5.47 平均パット数1.9 パーオン率12.3% フェアウェイ率52.5% OB率24.8% バンカー率37.0%,難易度18位/18ホール中 平均スコア3.94 平均パット数1.83 パーオン率23.5% フェアウェイ率- OB率4.3% バンカー率57.8%,難易度18位/18ホール中 平均スコア3.94 平均パット数1.83 パーオン率23.5% フェアウェイ率- OB率4.3% バンカー率57.8%,難易度18位/18ホール中 平均スコア3.94 平均パット数1.83 パーオン率23.5% フェアウェイ率- OB率4.3% バンカー率57.8%,難易度8位/18ホール中 平均スコア5.4 平均パット数1.85 パーオン率10.3% フェアウェイ率43.0% OB率7.8% バンカー率35.0%,難易度8位/18ホール中 平均スコア5.4 平均パット数1.85 パーオン率10.3% フェアウェイ率43.0% OB率7.8% バンカー率35.0%,難易度8位/18ホール中 平均スコア5.4 平均パット数1.85 パーオン率10.3% フェアウェイ率43.0% OB率7.8% バンカー率35.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：349yd,Hdcp：,PAR：5,Reg.：506yd,Hdcp：,PAR：4,Reg.：401yd,Hdcp：
5,真っ直ぐなミドル　第１打はセンターやや右サイド,真っ直ぐなミドル　第１打はセンターやや右サイド,真っ直ぐなミドル　第１打はセンターやや右サイド,１打目落下地点に左右クロスバンカーがある,１打目落下地点に左右クロスバンカーがある,１打目落下地点に左右クロスバンカーがある,打ち下ろしの左ドッグレッグミドルホール,打ち下ろしの左ドッグレッグミドルホール,打ち下ろしの左ドッグレッグミドルホール
6,難易度14位/18ホール中 平均スコア5.05 平均パット数1.88 パーオン率22.5% フェアウェイ率58.0% OB率6.0% バンカー率24.7%,難易度14位/18ホール中 平均スコア5.05 平均パット数1.88 パーオン率22.5% フェアウェイ率58.0% OB率6.0% バンカー率24.7%,難易度14位/18ホール中 平均スコア5.05 平均パット数1.88 パーオン率22.5% フェアウェイ率58.0% OB率6.0% バンカー率24.7%,難易度6位/18ホール中 平均スコア6.38 平均パット数1.91 パーオン率22.8% フェアウェイ率47.0% OB率14.8% バンカー率49.5%,難易度6位/18ホール中 平均スコア6.38 平均パット数1.91 パーオン率22.8% フェアウェイ率47.0% OB率14.8% バンカー率49.5%,難易度6位/18ホール中 平均スコア6.38 平均パット数1.91 パーオン率22.8% フェアウェイ率47.0% OB率14.8% バンカー率49.5%,難易度7位/18ホール中 平均スコア5.38 平均パット数1.84 パーオン率13.8% フェアウェイ率52.3% OB率27.3% バンカー率15.8%,難易度7位/18ホール中 平均スコア5.38 平均パット数1.84 パーオン率13.8% フェアウェイ率52.3% OB率27.3% バンカー率15.8%,難易度7位/18ホール中 平均スコア5.38 平均パット数1.84 パーオン率13.8% フェアウェイ率52.3% OB率27.3% バンカー率15.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：359yd,Hdcp：,PAR：3,Reg.：152yd,Hdcp：,PAR：5,Reg.：502yd,Hdcp：
9,ゆるやかな打ち上げの右ドッグレッグミドルホール,ゆるやかな打ち上げの右ドッグレッグミドルホール,ゆるやかな打ち上げの右ドッグレッグミドルホール,打ち下ろし、池越えのショートホール,打ち下ろし、池越えのショートホール,打ち下ろし、池越えのショートホール,フェアウェイ全体が左傾斜のロングホール,フェアウェイ全体が左傾斜のロングホール,フェアウェイ全体が左傾斜のロングホール
10,難易度13位/18ホール中 平均スコア5.27 平均パット数1.89 パーオン率16.5% フェアウェイ率54.3% OB率3.3% バンカー率51.5%,難易度13位/18ホール中 平均スコア5.27 平均パット数1.89 パーオン率16.5% フェアウェイ率54.3% OB率3.3% バンカー率51.5%,難易度13位/18ホール中 平均スコア5.27 平均パット数1.89 パーオン率16.5% フェアウェイ率54.3% OB率3.3% バンカー率51.5%,難易度17位/18ホール中 平均スコア3.95 平均パット数1.9 パーオン率30.3% フェアウェイ率- OB率14.0% バンカー率39.3%,難易度17位/18ホール中 平均スコア3.95 平均パット数1.9 パーオン率30.3% フェアウェイ率- OB率14.0% バンカー率39.3%,難易度17位/18ホール中 平均スコア3.95 平均パット数1.9 パーオン率30.3% フェアウェイ率- OB率14.0% バンカー率39.3%,難易度5位/18ホール中 平均スコア6.46 平均パット数1.92 パーオン率20.3% フェアウェイ率48.8% OB率21.3% バンカー率54.3%,難易度5位/18ホール中 平均スコア6.46 平均パット数1.92 パーオン率20.3% フェアウェイ率48.8% OB率21.3% バンカー率54.3%,難易度5位/18ホール中 平均スコア6.46 平均パット数1.92 パーオン率20.3% フェアウェイ率48.8% OB率21.3% バンカー率54.3%
