,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：394yd,Hdcp：16,PAR：3,Reg.：177yd,Hdcp：14,PAR：5,Reg.：499yd,Hdcp：4
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
2,難易度8位/18ホール中 平均スコア5.47 平均パット数2.1 パーオン率19.0% フェアウェイ率53.0% OB率33.5% バンカー率15.0%,難易度8位/18ホール中 平均スコア5.47 平均パット数2.1 パーオン率19.0% フェアウェイ率53.0% OB率33.5% バンカー率15.0%,難易度8位/18ホール中 平均スコア5.47 平均パット数2.1 パーオン率19.0% フェアウェイ率53.0% OB率33.5% バンカー率15.0%,難易度16位/18ホール中 平均スコア4.14 平均パット数2.04 パーオン率19.0% フェアウェイ率- OB率26.0% バンカー率7.7%,難易度16位/18ホール中 平均スコア4.14 平均パット数2.04 パーオン率19.0% フェアウェイ率- OB率26.0% バンカー率7.7%,難易度16位/18ホール中 平均スコア4.14 平均パット数2.04 パーオン率19.0% フェアウェイ率- OB率26.0% バンカー率7.7%,難易度7位/18ホール中 平均スコア6.45 平均パット数2.04 パーオン率20.8% フェアウェイ率53.5% OB率30.8% バンカー率26.7%,難易度7位/18ホール中 平均スコア6.45 平均パット数2.04 パーオン率20.8% フェアウェイ率53.5% OB率30.8% バンカー率26.7%,難易度7位/18ホール中 平均スコア6.45 平均パット数2.04 パーオン率20.8% フェアウェイ率53.5% OB率30.8% バンカー率26.7%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：349yd,Hdcp：12,PAR：4,Reg.：387yd,Hdcp：8,PAR：3,Reg.：156yd,Hdcp：18
5,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
6,難易度10位/18ホール中 平均スコア5.35 平均パット数2.03 パーオン率22.5% フェアウェイ率45.0% OB率36.7% バンカー率18.3%,難易度10位/18ホール中 平均スコア5.35 平均パット数2.03 パーオン率22.5% フェアウェイ率45.0% OB率36.7% バンカー率18.3%,難易度10位/18ホール中 平均スコア5.35 平均パット数2.03 パーオン率22.5% フェアウェイ率45.0% OB率36.7% バンカー率18.3%,難易度13位/18ホール中 平均スコア5.17 平均パット数2 パーオン率27.5% フェアウェイ率44.5% OB率27.5% バンカー率29.0%,難易度13位/18ホール中 平均スコア5.17 平均パット数2 パーオン率27.5% フェアウェイ率44.5% OB率27.5% バンカー率29.0%,難易度13位/18ホール中 平均スコア5.17 平均パット数2 パーオン率27.5% フェアウェイ率44.5% OB率27.5% バンカー率29.0%,難易度17位/18ホール中 平均スコア4.06 平均パット数2.06 パーオン率27.8% フェアウェイ率- OB率19.3% バンカー率7.7%,難易度17位/18ホール中 平均スコア4.06 平均パット数2.06 パーオン率27.8% フェアウェイ率- OB率19.3% バンカー率7.7%,難易度17位/18ホール中 平均スコア4.06 平均パット数2.06 パーオン率27.8% フェアウェイ率- OB率19.3% バンカー率7.7%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：417yd,Hdcp：2,PAR：4,Reg.：362yd,Hdcp：6,PAR：5,Reg.：534yd,Hdcp：10
9,長いミドルホール,長いミドルホール,長いミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度1位/18ホール中 平均スコア5.66 平均パット数2.02 パーオン率7.0% フェアウェイ率48.5% OB率44.3% バンカー率12.0%,難易度1位/18ホール中 平均スコア5.66 平均パット数2.02 パーオン率7.0% フェアウェイ率48.5% OB率44.3% バンカー率12.0%,難易度1位/18ホール中 平均スコア5.66 平均パット数2.02 パーオン率7.0% フェアウェイ率48.5% OB率44.3% バンカー率12.0%,難易度5位/18ホール中 平均スコア5.51 平均パット数2.02 パーオン率13.8% フェアウェイ率64.8% OB率14.0% バンカー率19.0%,難易度5位/18ホール中 平均スコア5.51 平均パット数2.02 パーオン率13.8% フェアウェイ率64.8% OB率14.0% バンカー率19.0%,難易度5位/18ホール中 平均スコア5.51 平均パット数2.02 パーオン率13.8% フェアウェイ率64.8% OB率14.0% バンカー率19.0%,難易度4位/18ホール中 平均スコア6.45 平均パット数1.99 パーオン率25.8% フェアウェイ率51.0% OB率44.3% バンカー率19.7%,難易度4位/18ホール中 平均スコア6.45 平均パット数1.99 パーオン率25.8% フェアウェイ率51.0% OB率44.3% バンカー率19.7%,難易度4位/18ホール中 平均スコア6.45 平均パット数1.99 パーオン率25.8% フェアウェイ率51.0% OB率44.3% バンカー率19.7%
