,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：535yd,Hdcp：4,PAR：3,Reg.：176yd,Hdcp：8,PAR：4,Reg.：426yd,Hdcp：2
1,ティーショットはフェアウエイ左目を狙う,ティーショットはフェアウエイ左目を狙う,ティーショットはフェアウエイ左目を狙う,ティーショットは大きめに打ちたい,ティーショットは大きめに打ちたい,ティーショットは大きめに打ちたい,長いミドル　バンカーはひとつもないホール,長いミドル　バンカーはひとつもないホール,長いミドル　バンカーはひとつもないホール
2,難易度2位/18ホール中 平均スコア6.62 平均パット数2.08 パーオン率21.5% フェアウェイ率49.3% OB率44.8% バンカー率23.3%,難易度2位/18ホール中 平均スコア6.62 平均パット数2.08 パーオン率21.5% フェアウェイ率49.3% OB率44.8% バンカー率23.3%,難易度2位/18ホール中 平均スコア6.62 平均パット数2.08 パーオン率21.5% フェアウェイ率49.3% OB率44.8% バンカー率23.3%,難易度16位/18ホール中 平均スコア4.02 平均パット数2.05 パーオン率28.8% フェアウェイ率- OB率18.0% バンカー率20.5%,難易度16位/18ホール中 平均スコア4.02 平均パット数2.05 パーオン率28.8% フェアウェイ率- OB率18.0% バンカー率20.5%,難易度16位/18ホール中 平均スコア4.02 平均パット数2.05 パーオン率28.8% フェアウェイ率- OB率18.0% バンカー率20.5%,難易度1位/18ホール中 平均スコア5.79 平均パット数2.03 パーオン率7.0% フェアウェイ率44.8% OB率58.0% バンカー率1.0%,難易度1位/18ホール中 平均スコア5.79 平均パット数2.03 パーオン率7.0% フェアウェイ率44.8% OB率58.0% バンカー率1.0%,難易度1位/18ホール中 平均スコア5.79 平均パット数2.03 パーオン率7.0% フェアウェイ率44.8% OB率58.0% バンカー率1.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：503yd,Hdcp：10,PAR：4,Reg.：364yd,Hdcp：16,PAR：4,Reg.：300yd,Hdcp：18
5,ティーショットは池を気にしないで力一杯打つ,ティーショットは池を気にしないで力一杯打つ,ティーショットは池を気にしないで力一杯打つ,ティーショットは左側山裾狙い,ティーショットは左側山裾狙い,ティーショットは左側山裾狙い,距離の短いホールなのでドライバーをもつ必要はない,距離の短いホールなのでドライバーをもつ必要はない,距離の短いホールなのでドライバーをもつ必要はない
6,難易度4位/18ホール中 平均スコア6.6 平均パット数2 パーオン率15.8% フェアウェイ率36.5% OB率33.5% バンカー率26.0%,難易度4位/18ホール中 平均スコア6.6 平均パット数2 パーオン率15.8% フェアウェイ率36.5% OB率33.5% バンカー率26.0%,難易度4位/18ホール中 平均スコア6.6 平均パット数2 パーオン率15.8% フェアウェイ率36.5% OB率33.5% バンカー率26.0%,難易度11位/18ホール中 平均スコア5.27 平均パット数2.01 パーオン率28.3% フェアウェイ率54.3% OB率44.5% バンカー率6.7%,難易度11位/18ホール中 平均スコア5.27 平均パット数2.01 パーオン率28.3% フェアウェイ率54.3% OB率44.5% バンカー率6.7%,難易度11位/18ホール中 平均スコア5.27 平均パット数2.01 パーオン率28.3% フェアウェイ率54.3% OB率44.5% バンカー率6.7%,難易度15位/18ホール中 平均スコア5.02 平均パット数1.93 パーオン率33.3% フェアウェイ率49.8% OB率22.3% バンカー率32.5%,難易度15位/18ホール中 平均スコア5.02 平均パット数1.93 パーオン率33.3% フェアウェイ率49.8% OB率22.3% バンカー率32.5%,難易度15位/18ホール中 平均スコア5.02 平均パット数1.93 パーオン率33.3% フェアウェイ率49.8% OB率22.3% バンカー率32.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：167yd,Hdcp：12,PAR：4,Reg.：392yd,Hdcp：6,PAR：4,Reg.：347yd,Hdcp：14
9,左右が狭いショートホール,左右が狭いショートホール,左右が狭いショートホール,ティーショットをテラスの上に打てば第２打は楽,ティーショットをテラスの上に打てば第２打は楽,ティーショットをテラスの上に打てば第２打は楽,ティーショットは右側Ｏ.Ｂに気をつけて,ティーショットは右側Ｏ.Ｂに気をつけて,ティーショットは右側Ｏ.Ｂに気をつけて
10,難易度18位/18ホール中 平均スコア3.76 平均パット数2.02 パーオン率41.8% フェアウェイ率- OB率15.7% バンカー率14.5%,難易度18位/18ホール中 平均スコア3.76 平均パット数2.02 パーオン率41.8% フェアウェイ率- OB率15.7% バンカー率14.5%,難易度18位/18ホール中 平均スコア3.76 平均パット数2.02 パーオン率41.8% フェアウェイ率- OB率15.7% バンカー率14.5%,難易度6位/18ホール中 平均スコア5.5 平均パット数2.07 パーオン率20.3% フェアウェイ率45.3% OB率41.3% バンカー率18.5%,難易度6位/18ホール中 平均スコア5.5 平均パット数2.07 パーオン率20.3% フェアウェイ率45.3% OB率41.3% バンカー率18.5%,難易度6位/18ホール中 平均スコア5.5 平均パット数2.07 パーオン率20.3% フェアウェイ率45.3% OB率41.3% バンカー率18.5%,難易度8位/18ホール中 平均スコア5.34 平均パット数2.03 パーオン率25.0% フェアウェイ率52.5% OB率36.8% バンカー率24.0%,難易度8位/18ホール中 平均スコア5.34 平均パット数2.03 パーオン率25.0% フェアウェイ率52.5% OB率36.8% バンカー率24.0%,難易度8位/18ホール中 平均スコア5.34 平均パット数2.03 パーオン率25.0% フェアウェイ率52.5% OB率36.8% バンカー率24.0%
