,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：379yd,Hdcp：7,PAR：5,Reg.：541yd,Hdcp：9,PAR：4,Reg.：363yd,Hdcp：17
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール
2,難易度7位/18ホール中 平均スコア5.51 平均パット数2.12 パーオン率10.8% フェアウェイ率54.5% OB率33.0% バンカー率18.7%,難易度7位/18ホール中 平均スコア5.51 平均パット数2.12 パーオン率10.8% フェアウェイ率54.5% OB率33.0% バンカー率18.7%,難易度7位/18ホール中 平均スコア5.51 平均パット数2.12 パーオン率10.8% フェアウェイ率54.5% OB率33.0% バンカー率18.7%,難易度2位/18ホール中 平均スコア6.56 平均パット数2.04 パーオン率18.7% フェアウェイ率67.5% OB率18.3% バンカー率-,難易度2位/18ホール中 平均スコア6.56 平均パット数2.04 パーオン率18.7% フェアウェイ率67.5% OB率18.3% バンカー率-,難易度2位/18ホール中 平均スコア6.56 平均パット数2.04 パーオン率18.7% フェアウェイ率67.5% OB率18.3% バンカー率-,難易度14位/18ホール中 平均スコア5.09 平均パット数2.03 パーオン率34.5% フェアウェイ率49.8% OB率36.8% バンカー率21.0%,難易度14位/18ホール中 平均スコア5.09 平均パット数2.03 パーオン率34.5% フェアウェイ率49.8% OB率36.8% バンカー率21.0%,難易度14位/18ホール中 平均スコア5.09 平均パット数2.03 パーオン率34.5% フェアウェイ率49.8% OB率36.8% バンカー率21.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：215yd,Hdcp：3,PAR：4,Reg.：413yd,Hdcp：5,PAR：4,Reg.：361yd,Hdcp：13
5,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,緩やかな左ドッグレッグのミドルホール,緩やかな左ドッグレッグのミドルホール,緩やかな左ドッグレッグのミドルホール
6,難易度10位/18ホール中 平均スコア4.38 平均パット数2.08 パーオン率17.8% フェアウェイ率- OB率20.0% バンカー率28.3%,難易度10位/18ホール中 平均スコア4.38 平均パット数2.08 パーオン率17.8% フェアウェイ率- OB率20.0% バンカー率28.3%,難易度10位/18ホール中 平均スコア4.38 平均パット数2.08 パーオン率17.8% フェアウェイ率- OB率20.0% バンカー率28.3%,難易度4位/18ホール中 平均スコア5.51 平均パット数1.98 パーオン率16.3% フェアウェイ率68.3% OB率37.5% バンカー率20.0%,難易度4位/18ホール中 平均スコア5.51 平均パット数1.98 パーオン率16.3% フェアウェイ率68.3% OB率37.5% バンカー率20.0%,難易度4位/18ホール中 平均スコア5.51 平均パット数1.98 パーオン率16.3% フェアウェイ率68.3% OB率37.5% バンカー率20.0%,難易度13位/18ホール中 平均スコア5.38 平均パット数2.02 パーオン率34.7% フェアウェイ率64.0% OB率20.7% バンカー率21.0%,難易度13位/18ホール中 平均スコア5.38 平均パット数2.02 パーオン率34.7% フェアウェイ率64.0% OB率20.7% バンカー率21.0%,難易度13位/18ホール中 平均スコア5.38 平均パット数2.02 パーオン率34.7% フェアウェイ率64.0% OB率20.7% バンカー率21.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：158yd,Hdcp：15,PAR：5,Reg.：538yd,Hdcp：11,PAR：4,Reg.：449yd,Hdcp：1
9,ショートホール,ショートホール,ショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度18位/18ホール中 平均スコア3.84 平均パット数2.06 パーオン率32.5% フェアウェイ率- OB率11.0% バンカー率19.5%,難易度18位/18ホール中 平均スコア3.84 平均パット数2.06 パーオン率32.5% フェアウェイ率- OB率11.0% バンカー率19.5%,難易度18位/18ホール中 平均スコア3.84 平均パット数2.06 パーオン率32.5% フェアウェイ率- OB率11.0% バンカー率19.5%,難易度3位/18ホール中 平均スコア6.56 平均パット数2.06 パーオン率21.5% フェアウェイ率61.8% OB率18.7% バンカー率35.0%,難易度3位/18ホール中 平均スコア6.56 平均パット数2.06 パーオン率21.5% フェアウェイ率61.8% OB率18.7% バンカー率35.0%,難易度3位/18ホール中 平均スコア6.56 平均パット数2.06 パーオン率21.5% フェアウェイ率61.8% OB率18.7% バンカー率35.0%,難易度1位/18ホール中 平均スコア5.83 平均パット数2.09 パーオン率13.0% フェアウェイ率48.5% OB率10.0% バンカー率13.0%,難易度1位/18ホール中 平均スコア5.83 平均パット数2.09 パーオン率13.0% フェアウェイ率48.5% OB率10.0% バンカー率13.0%,難易度1位/18ホール中 平均スコア5.83 平均パット数2.09 パーオン率13.0% フェアウェイ率48.5% OB率10.0% バンカー率13.0%
