,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：393yd,Hdcp：5,PAR：3,Reg.：156yd,Hdcp：7,PAR：5,Reg.：582yd,Hdcp：3
1,なだらかな打ち下ろしの右ドックレッグミドル,なだらかな打ち下ろしの右ドックレッグミドル,なだらかな打ち下ろしの右ドックレッグミドル,池越えのショートホール,池越えのショートホール,池越えのショートホール,やや右ドッグレッグのロングホール,やや右ドッグレッグのロングホール,やや右ドッグレッグのロングホール
2,難易度5位/9ホール中 平均スコア5.25 平均パット数1.84 パーオン率14.5% フェアウェイ率52.8% OB率31.8% バンカー率23.3%,難易度5位/9ホール中 平均スコア5.25 平均パット数1.84 パーオン率14.5% フェアウェイ率52.8% OB率31.8% バンカー率23.3%,難易度5位/9ホール中 平均スコア5.25 平均パット数1.84 パーオン率14.5% フェアウェイ率52.8% OB率31.8% バンカー率23.3%,難易度8位/9ホール中 平均スコア3.87 平均パット数1.95 パーオン率31.5% フェアウェイ率- OB率24.5% バンカー率8.3%,難易度8位/9ホール中 平均スコア3.87 平均パット数1.95 パーオン率31.5% フェアウェイ率- OB率24.5% バンカー率8.3%,難易度8位/9ホール中 平均スコア3.87 平均パット数1.95 パーオン率31.5% フェアウェイ率- OB率24.5% バンカー率8.3%,難易度1位/9ホール中 平均スコア6.61 平均パット数1.91 パーオン率14.8% フェアウェイ率49.8% OB率44.8% バンカー率12.0%,難易度1位/9ホール中 平均スコア6.61 平均パット数1.91 パーオン率14.8% フェアウェイ率49.8% OB率44.8% バンカー率12.0%,難易度1位/9ホール中 平均スコア6.61 平均パット数1.91 パーオン率14.8% フェアウェイ率49.8% OB率44.8% バンカー率12.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：380yd,Hdcp：1,PAR：4,Reg.：420yd,Hdcp：2,PAR：5,Reg.：523yd,Hdcp：8
5,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,フラットで真っ直ぐなミドルホール,フラットで真っ直ぐなミドルホール,フラットで真っ直ぐなミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
6,難易度2位/9ホール中 平均スコア5.76 平均パット数1.9 パーオン率10.8% フェアウェイ率26.3% OB率57.5% バンカー率12.0%,難易度2位/9ホール中 平均スコア5.76 平均パット数1.9 パーオン率10.8% フェアウェイ率26.3% OB率57.5% バンカー率12.0%,難易度2位/9ホール中 平均スコア5.76 平均パット数1.9 パーオン率10.8% フェアウェイ率26.3% OB率57.5% バンカー率12.0%,難易度3位/9ホール中 平均スコア5.43 平均パット数1.9 パーオン率16.3% フェアウェイ率51.3% OB率39.0% バンカー率16.0%,難易度3位/9ホール中 平均スコア5.43 平均パット数1.9 パーオン率16.3% フェアウェイ率51.3% OB率39.0% バンカー率16.0%,難易度3位/9ホール中 平均スコア5.43 平均パット数1.9 パーオン率16.3% フェアウェイ率51.3% OB率39.0% バンカー率16.0%,難易度4位/9ホール中 平均スコア6.13 平均パット数1.79 パーオン率26.5% フェアウェイ率49.5% OB率30.0% バンカー率18.0%,難易度4位/9ホール中 平均スコア6.13 平均パット数1.79 パーオン率26.5% フェアウェイ率49.5% OB率30.0% バンカー率18.0%,難易度4位/9ホール中 平均スコア6.13 平均パット数1.79 パーオン率26.5% フェアウェイ率49.5% OB率30.0% バンカー率18.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：322yd,Hdcp：6,PAR：3,Reg.：149yd,Hdcp：9,PAR：4,Reg.：422yd,Hdcp：4
9,短いミドルホール,短いミドルホール,短いミドルホール,やや打ち下ろしでやさしいショートホール,やや打ち下ろしでやさしいショートホール,やや打ち下ろしでやさしいショートホール,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール
10,難易度7位/9ホール中 平均スコア5.01 平均パット数1.87 パーオン率26.5% フェアウェイ率54.8% OB率18.7% バンカー率3.7%,難易度7位/9ホール中 平均スコア5.01 平均パット数1.87 パーオン率26.5% フェアウェイ率54.8% OB率18.7% バンカー率3.7%,難易度7位/9ホール中 平均スコア5.01 平均パット数1.87 パーオン率26.5% フェアウェイ率54.8% OB率18.7% バンカー率3.7%,難易度9位/9ホール中 平均スコア3.82 平均パット数1.95 パーオン率32.5% フェアウェイ率- OB率15.3% バンカー率23.7%,難易度9位/9ホール中 平均スコア3.82 平均パット数1.95 パーオン率32.5% フェアウェイ率- OB率15.3% バンカー率23.7%,難易度9位/9ホール中 平均スコア3.82 平均パット数1.95 パーオン率32.5% フェアウェイ率- OB率15.3% バンカー率23.7%,難易度6位/9ホール中 平均スコア5.03 平均パット数1.86 パーオン率28.3% フェアウェイ率51.5% OB率30.7% バンカー率17.8%,難易度6位/9ホール中 平均スコア5.03 平均パット数1.86 パーオン率28.3% フェアウェイ率51.5% OB率30.7% バンカー率17.8%,難易度6位/9ホール中 平均スコア5.03 平均パット数1.86 パーオン率28.3% フェアウェイ率51.5% OB率30.7% バンカー率17.8%
