,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：560yd,Hdcp：3,PAR：4,Reg.：271yd,Hdcp：15,PAR：5,Reg.：505yd,Hdcp：9
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,短いミドルホール,短いミドルホール,短いミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
2,難易度18位/18ホール中 平均スコア5.35 平均パット数2.08 パーオン率59.3% フェアウェイ率41.3% OB率34.0% バンカー率19.0%,難易度18位/18ホール中 平均スコア5.35 平均パット数2.08 パーオン率59.3% フェアウェイ率41.3% OB率34.0% バンカー率19.0%,難易度18位/18ホール中 平均スコア5.35 平均パット数2.08 パーオン率59.3% フェアウェイ率41.3% OB率34.0% バンカー率19.0%,難易度13位/18ホール中 平均スコア5.19 平均パット数2.01 パーオン率29.5% フェアウェイ率54.0% OB率38.0% バンカー率11.0%,難易度13位/18ホール中 平均スコア5.19 平均パット数2.01 パーオン率29.5% フェアウェイ率54.0% OB率38.0% バンカー率11.0%,難易度13位/18ホール中 平均スコア5.19 平均パット数2.01 パーオン率29.5% フェアウェイ率54.0% OB率38.0% バンカー率11.0%,難易度4位/18ホール中 平均スコア6.38 平均パット数2.17 パーオン率32.5% フェアウェイ率53.8% OB率29.0% バンカー率20.3%,難易度4位/18ホール中 平均スコア6.38 平均パット数2.17 パーオン率32.5% フェアウェイ率53.8% OB率29.0% バンカー率20.3%,難易度4位/18ホール中 平均スコア6.38 平均パット数2.17 パーオン率32.5% フェアウェイ率53.8% OB率29.0% バンカー率20.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：314yd,Hdcp：7,PAR：3,Reg.：190yd,Hdcp：13,PAR：4,Reg.：424yd,Hdcp：1
5,短いミドルホール,短いミドルホール,短いミドルホール,長いショートホール,長いショートホール,長いショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度10位/18ホール中 平均スコア5.33 平均パット数2.06 パーオン率24.5% フェアウェイ率48.8% OB率37.3% バンカー率14.0%,難易度10位/18ホール中 平均スコア5.33 平均パット数2.06 パーオン率24.5% フェアウェイ率48.8% OB率37.3% バンカー率14.0%,難易度10位/18ホール中 平均スコア5.33 平均パット数2.06 パーオン率24.5% フェアウェイ率48.8% OB率37.3% バンカー率14.0%,難易度14位/18ホール中 平均スコア4.13 平均パット数2.06 パーオン率23.8% フェアウェイ率- OB率12.3% バンカー率33.3%,難易度14位/18ホール中 平均スコア4.13 平均パット数2.06 パーオン率23.8% フェアウェイ率- OB率12.3% バンカー率33.3%,難易度14位/18ホール中 平均スコア4.13 平均パット数2.06 パーオン率23.8% フェアウェイ率- OB率12.3% バンカー率33.3%,難易度7位/18ホール中 平均スコア5.41 平均パット数2.14 パーオン率19.5% フェアウェイ率51.0% OB率19.0% バンカー率21.3%,難易度7位/18ホール中 平均スコア5.41 平均パット数2.14 パーオン率19.5% フェアウェイ率51.0% OB率19.0% バンカー率21.3%,難易度7位/18ホール中 平均スコア5.41 平均パット数2.14 パーオン率19.5% フェアウェイ率51.0% OB率19.0% バンカー率21.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：369yd,Hdcp：11,PAR：3,Reg.：164yd,Hdcp：17,PAR：4,Reg.：424yd,Hdcp：5
9,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度12位/18ホール中 平均スコア5.27 平均パット数2.02 パーオン率21.8% フェアウェイ率54.5% OB率20.0% バンカー率24.8%,難易度12位/18ホール中 平均スコア5.27 平均パット数2.02 パーオン率21.8% フェアウェイ率54.5% OB率20.0% バンカー率24.8%,難易度12位/18ホール中 平均スコア5.27 平均パット数2.02 パーオン率21.8% フェアウェイ率54.5% OB率20.0% バンカー率24.8%,難易度16位/18ホール中 平均スコア3.94 平均パット数2.07 パーオン率36.3% フェアウェイ率- OB率21.3% バンカー率19.3%,難易度16位/18ホール中 平均スコア3.94 平均パット数2.07 パーオン率36.3% フェアウェイ率- OB率21.3% バンカー率19.3%,難易度16位/18ホール中 平均スコア3.94 平均パット数2.07 パーオン率36.3% フェアウェイ率- OB率21.3% バンカー率19.3%,難易度3位/18ホール中 平均スコア5.55 平均パット数2.01 パーオン率11.0% フェアウェイ率49.0% OB率39.5% バンカー率10.0%,難易度3位/18ホール中 平均スコア5.55 平均パット数2.01 パーオン率11.0% フェアウェイ率49.0% OB率39.5% バンカー率10.0%,難易度3位/18ホール中 平均スコア5.55 平均パット数2.01 パーオン率11.0% フェアウェイ率49.0% OB率39.5% バンカー率10.0%
