,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：309yd,Hdcp：6,PAR：4,Reg.：393yd,Hdcp：3,PAR：5,Reg.：512yd,Hdcp：4
1,短いミドルホール,短いミドルホール,短いミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
2,難易度5位/9ホール中 平均スコア5.21 平均パット数1.88 パーオン率21.5% フェアウェイ率67.5% OB率37.3% バンカー率13.7%,難易度5位/9ホール中 平均スコア5.21 平均パット数1.88 パーオン率21.5% フェアウェイ率67.5% OB率37.3% バンカー率13.7%,難易度5位/9ホール中 平均スコア5.21 平均パット数1.88 パーオン率21.5% フェアウェイ率67.5% OB率37.3% バンカー率13.7%,難易度2位/9ホール中 平均スコア5.48 平均パット数1.94 パーオン率12.3% フェアウェイ率55.8% OB率44.0% バンカー率16.0%,難易度2位/9ホール中 平均スコア5.48 平均パット数1.94 パーオン率12.3% フェアウェイ率55.8% OB率44.0% バンカー率16.0%,難易度2位/9ホール中 平均スコア5.48 平均パット数1.94 パーオン率12.3% フェアウェイ率55.8% OB率44.0% バンカー率16.0%,難易度1位/9ホール中 平均スコア6.46 平均パット数2.07 パーオン率23.0% フェアウェイ率57.8% OB率39.5% バンカー率17.8%,難易度1位/9ホール中 平均スコア6.46 平均パット数2.07 パーオン率23.0% フェアウェイ率57.8% OB率39.5% バンカー率17.8%,難易度1位/9ホール中 平均スコア6.46 平均パット数2.07 パーオン率23.0% フェアウェイ率57.8% OB率39.5% バンカー率17.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：147yd,Hdcp：9,PAR：5,Reg.：454yd,Hdcp：1,PAR：3,Reg.：163yd,Hdcp：2
5,池越えのショートホール,池越えのショートホール,池越えのショートホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
6,難易度9位/9ホール中 平均スコア3.71 平均パット数1.99 パーオン率46.8% フェアウェイ率- OB率9.5% バンカー率11.0%,難易度9位/9ホール中 平均スコア3.71 平均パット数1.99 パーオン率46.8% フェアウェイ率- OB率9.5% バンカー率11.0%,難易度9位/9ホール中 平均スコア3.71 平均パット数1.99 パーオン率46.8% フェアウェイ率- OB率9.5% バンカー率11.0%,難易度4位/9ホール中 平均スコア6.26 平均パット数2.06 パーオン率30.8% フェアウェイ率49.8% OB率32.8% バンカー率11.5%,難易度4位/9ホール中 平均スコア6.26 平均パット数2.06 パーオン率30.8% フェアウェイ率49.8% OB率32.8% バンカー率11.5%,難易度4位/9ホール中 平均スコア6.26 平均パット数2.06 パーオン率30.8% フェアウェイ率49.8% OB率32.8% バンカー率11.5%,難易度8位/9ホール中 平均スコア4.06 平均パット数1.92 パーオン率28.0% フェアウェイ率- OB率43.3% バンカー率14.0%,難易度8位/9ホール中 平均スコア4.06 平均パット数1.92 パーオン率28.0% フェアウェイ率- OB率43.3% バンカー率14.0%,難易度8位/9ホール中 平均スコア4.06 平均パット数1.92 パーオン率28.0% フェアウェイ率- OB率43.3% バンカー率14.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：295yd,Hdcp：5,PAR：4,Reg.：298yd,Hdcp：8,PAR：4,Reg.：301yd,Hdcp：7
9,短いミドルホール,短いミドルホール,短いミドルホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度3位/9ホール中 平均スコア5.33 平均パット数2.06 パーオン率25.3% フェアウェイ率57.0% OB率39.5% バンカー率7.5%,難易度3位/9ホール中 平均スコア5.33 平均パット数2.06 パーオン率25.3% フェアウェイ率57.0% OB率39.5% バンカー率7.5%,難易度3位/9ホール中 平均スコア5.33 平均パット数2.06 パーオン率25.3% フェアウェイ率57.0% OB率39.5% バンカー率7.5%,難易度6位/9ホール中 平均スコア5.13 平均パット数2.02 パーオン率37.3% フェアウェイ率62.0% OB率33.3% バンカー率2.3%,難易度6位/9ホール中 平均スコア5.13 平均パット数2.02 パーオン率37.3% フェアウェイ率62.0% OB率33.3% バンカー率2.3%,難易度6位/9ホール中 平均スコア5.13 平均パット数2.02 パーオン率37.3% フェアウェイ率62.0% OB率33.3% バンカー率2.3%,難易度7位/9ホール中 平均スコア5.03 平均パット数1.98 パーオン率37.8% フェアウェイ率52.3% OB率37.0% バンカー率13.3%,難易度7位/9ホール中 平均スコア5.03 平均パット数1.98 パーオン率37.8% フェアウェイ率52.3% OB率37.0% バンカー率13.3%,難易度7位/9ホール中 平均スコア5.03 平均パット数1.98 パーオン率37.8% フェアウェイ率52.3% OB率37.0% バンカー率13.3%
