,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：385yd,Hdcp：10,PAR：4,Reg.：382yd,Hdcp：4,PAR：3,Reg.：167yd,Hdcp：16
1,ストレートなミドルホール,ストレートなミドルホール,ストレートなミドルホール,0特徴ある起伏のグリーンに要注意！,0特徴ある起伏のグリーンに要注意！,0特徴ある起伏のグリーンに要注意！,カップの位置によっては難易度アップ！,カップの位置によっては難易度アップ！,カップの位置によっては難易度アップ！
2,難易度5位/18ホール中 平均スコア5.53 平均パット数2.08 パーオン率17.8% フェアウェイ率35.0% OB率1.0% バンカー率27.0%,難易度5位/18ホール中 平均スコア5.53 平均パット数2.08 パーオン率17.8% フェアウェイ率35.0% OB率1.0% バンカー率27.0%,難易度5位/18ホール中 平均スコア5.53 平均パット数2.08 パーオン率17.8% フェアウェイ率35.0% OB率1.0% バンカー率27.0%,難易度6位/18ホール中 平均スコア5.54 平均パット数2.05 パーオン率16.5% フェアウェイ率40.0% OB率3.3% バンカー率42.8%,難易度6位/18ホール中 平均スコア5.54 平均パット数2.05 パーオン率16.5% フェアウェイ率40.0% OB率3.3% バンカー率42.8%,難易度6位/18ホール中 平均スコア5.54 平均パット数2.05 パーオン率16.5% フェアウェイ率40.0% OB率3.3% バンカー率42.8%,難易度16位/18ホール中 平均スコア3.96 平均パット数2.05 パーオン率35.0% フェアウェイ率- OB率1.0% バンカー率54.8%,難易度16位/18ホール中 平均スコア3.96 平均パット数2.05 パーオン率35.0% フェアウェイ率- OB率1.0% バンカー率54.8%,難易度16位/18ホール中 平均スコア3.96 平均パット数2.05 パーオン率35.0% フェアウェイ率- OB率1.0% バンカー率54.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：535yd,Hdcp：2,PAR：3,Reg.：185yd,Hdcp：14,PAR：4,Reg.：388yd,Hdcp：8
5,緩やかにドッグレッグしているロングホール,緩やかにドッグレッグしているロングホール,緩やかにドッグレッグしているロングホール,グリーンは受けていて２つのマウンドが特徴,グリーンは受けていて２つのマウンドが特徴,グリーンは受けていて２つのマウンドが特徴,要所に松の木が点在するミドルホール,要所に松の木が点在するミドルホール,要所に松の木が点在するミドルホール
6,難易度1位/18ホール中 平均スコア6.65 平均パット数2.03 パーオン率15.5% フェアウェイ率39.5% OB率12.0% バンカー率35.8%,難易度1位/18ホール中 平均スコア6.65 平均パット数2.03 パーオン率15.5% フェアウェイ率39.5% OB率12.0% バンカー率35.8%,難易度1位/18ホール中 平均スコア6.65 平均パット数2.03 パーオン率15.5% フェアウェイ率39.5% OB率12.0% バンカー率35.8%,難易度15位/18ホール中 平均スコア4.01 平均パット数2.03 パーオン率33.3% フェアウェイ率- OB率3.0% バンカー率39.3%,難易度15位/18ホール中 平均スコア4.01 平均パット数2.03 パーオン率33.3% フェアウェイ率- OB率3.0% バンカー率39.3%,難易度15位/18ホール中 平均スコア4.01 平均パット数2.03 パーオン率33.3% フェアウェイ率- OB率3.0% バンカー率39.3%,難易度10位/18ホール中 平均スコア5.5 平均パット数2.03 パーオン率18.5% フェアウェイ率40.0% OB率1.0% バンカー率34.8%,難易度10位/18ホール中 平均スコア5.5 平均パット数2.03 パーオン率18.5% フェアウェイ率40.0% OB率1.0% バンカー率34.8%,難易度10位/18ホール中 平均スコア5.5 平均パット数2.03 パーオン率18.5% フェアウェイ率40.0% OB率1.0% バンカー率34.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：405yd,Hdcp：12,PAR：4,Reg.：388yd,Hdcp：18,PAR：5,Reg.：519yd,Hdcp：6
9,ストレートなミドルホール,ストレートなミドルホール,ストレートなミドルホール,第一打の目標はセンターの松の木左,第一打の目標はセンターの松の木左,第一打の目標はセンターの松の木左,グリーン手前１００Ｙまではストレート,グリーン手前１００Ｙまではストレート,グリーン手前１００Ｙまではストレート
10,難易度11位/18ホール中 平均スコア5.43 平均パット数1.93 パーオン率13.8% フェアウェイ率36.8% OB率2.3% バンカー率48.3%,難易度11位/18ホール中 平均スコア5.43 平均パット数1.93 パーオン率13.8% フェアウェイ率36.8% OB率2.3% バンカー率48.3%,難易度11位/18ホール中 平均スコア5.43 平均パット数1.93 パーオン率13.8% フェアウェイ率36.8% OB率2.3% バンカー率48.3%,難易度8位/18ホール中 平均スコア5.5 平均パット数1.99 パーオン率15.3% フェアウェイ率49.0% OB率6.0% バンカー率52.3%,難易度8位/18ホール中 平均スコア5.5 平均パット数1.99 パーオン率15.3% フェアウェイ率49.0% OB率6.0% バンカー率52.3%,難易度8位/18ホール中 平均スコア5.5 平均パット数1.99 パーオン率15.3% フェアウェイ率49.0% OB率6.0% バンカー率52.3%,難易度2位/18ホール中 平均スコア6.69 平均パット数2.08 パーオン率19.8% フェアウェイ率42.8% OB率3.0% バンカー率30.0%,難易度2位/18ホール中 平均スコア6.69 平均パット数2.08 パーオン率19.8% フェアウェイ率42.8% OB率3.0% バンカー率30.0%,難易度2位/18ホール中 平均スコア6.69 平均パット数2.08 パーオン率19.8% フェアウェイ率42.8% OB率3.0% バンカー率30.0%
