,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：491yd,Hdcp：5,PAR：3,Reg.：183yd,Hdcp：8,PAR：4,Reg.：427yd,Hdcp：1
1,短いロングホール　思い切って打っていける,短いロングホール　思い切って打っていける,短いロングホール　思い切って打っていける,グリーン周りの池とバンカーがプレッシャー,グリーン周りの池とバンカーがプレッシャー,グリーン周りの池とバンカーがプレッシャー,右ドックレックに見えるが、実際は左ドックレック,右ドックレックに見えるが、実際は左ドックレック,右ドックレックに見えるが、実際は左ドックレック
2,難易度4位/9ホール中 平均スコア6.34 平均パット数2.07 パーオン率29.5% フェアウェイ率47.3% OB率30.5% バンカー率12.8%,難易度4位/9ホール中 平均スコア6.34 平均パット数2.07 パーオン率29.5% フェアウェイ率47.3% OB率30.5% バンカー率12.8%,難易度4位/9ホール中 平均スコア6.34 平均パット数2.07 パーオン率29.5% フェアウェイ率47.3% OB率30.5% バンカー率12.8%,難易度7位/9ホール中 平均スコア4.18 平均パット数1.96 パーオン率22.0% フェアウェイ率- OB率9.8% バンカー率16.0%,難易度7位/9ホール中 平均スコア4.18 平均パット数1.96 パーオン率22.0% フェアウェイ率- OB率9.8% バンカー率16.0%,難易度7位/9ホール中 平均スコア4.18 平均パット数1.96 パーオン率22.0% フェアウェイ率- OB率9.8% バンカー率16.0%,難易度1位/9ホール中 平均スコア5.83 平均パット数2.07 パーオン率6.0% フェアウェイ率46.8% OB率26.5% バンカー率6.8%,難易度1位/9ホール中 平均スコア5.83 平均パット数2.07 パーオン率6.0% フェアウェイ率46.8% OB率26.5% バンカー率6.8%,難易度1位/9ホール中 平均スコア5.83 平均パット数2.07 パーオン率6.0% フェアウェイ率46.8% OB率26.5% バンカー率6.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：319yd,Hdcp：4,PAR：4,Reg.：300yd,Hdcp：6,PAR：3,Reg.：133yd,Hdcp：7
5,数少ないスタイミーホール,数少ないスタイミーホール,数少ないスタイミーホール,さほど距離のないミドルホール,さほど距離のないミドルホール,さほど距離のないミドルホール,距離のないショートホール,距離のないショートホール,距離のないショートホール
6,難易度6位/9ホール中 平均スコア5.22 平均パット数2 パーオン率24.8% フェアウェイ率49.5% OB率19.8% バンカー率16.5%,難易度6位/9ホール中 平均スコア5.22 平均パット数2 パーオン率24.8% フェアウェイ率49.5% OB率19.8% バンカー率16.5%,難易度6位/9ホール中 平均スコア5.22 平均パット数2 パーオン率24.8% フェアウェイ率49.5% OB率19.8% バンカー率16.5%,難易度8位/9ホール中 平均スコア4.96 平均パット数2.08 パーオン率40.8% フェアウェイ率53.3% OB率3.7% バンカー率23.5%,難易度8位/9ホール中 平均スコア4.96 平均パット数2.08 パーオン率40.8% フェアウェイ率53.3% OB率3.7% バンカー率23.5%,難易度8位/9ホール中 平均スコア4.96 平均パット数2.08 パーオン率40.8% フェアウェイ率53.3% OB率3.7% バンカー率23.5%,難易度9位/9ホール中 平均スコア3.8 平均パット数2.02 パーオン率40.3% フェアウェイ率- OB率1.3% バンカー率26.8%,難易度9位/9ホール中 平均スコア3.8 平均パット数2.02 パーオン率40.3% フェアウェイ率- OB率1.3% バンカー率26.8%,難易度9位/9ホール中 平均スコア3.8 平均パット数2.02 パーオン率40.3% フェアウェイ率- OB率1.3% バンカー率26.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：381yd,Hdcp：2,PAR：5,Reg.：523yd,Hdcp：3,PAR：4,Reg.：376yd,Hdcp：9
9,思い切って打っていける広々としたミドルホール,思い切って打っていける広々としたミドルホール,思い切って打っていける広々としたミドルホール,方向と距離が難しいロングホール,方向と距離が難しいロングホール,方向と距離が難しいロングホール,なだらかな打ち下ろしのフィニッシングホール,なだらかな打ち下ろしのフィニッシングホール,なだらかな打ち下ろしのフィニッシングホール
10,難易度3位/9ホール中 平均スコア5.48 平均パット数2.01 パーオン率12.5% フェアウェイ率51.3% OB率5.8% バンカー率24.3%,難易度3位/9ホール中 平均スコア5.48 平均パット数2.01 パーオン率12.5% フェアウェイ率51.3% OB率5.8% バンカー率24.3%,難易度3位/9ホール中 平均スコア5.48 平均パット数2.01 パーオン率12.5% フェアウェイ率51.3% OB率5.8% バンカー率24.3%,難易度2位/9ホール中 平均スコア6.59 平均パット数2.11 パーオン率22.5% フェアウェイ率40.8% OB率33.5% バンカー率17.8%,難易度2位/9ホール中 平均スコア6.59 平均パット数2.11 パーオン率22.5% フェアウェイ率40.8% OB率33.5% バンカー率17.8%,難易度2位/9ホール中 平均スコア6.59 平均パット数2.11 パーオン率22.5% フェアウェイ率40.8% OB率33.5% バンカー率17.8%,難易度5位/9ホール中 平均スコア5.37 平均パット数2.05 パーオン率17.5% フェアウェイ率47.5% OB率5.0% バンカー率13.5%,難易度5位/9ホール中 平均スコア5.37 平均パット数2.05 パーオン率17.5% フェアウェイ率47.5% OB率5.0% バンカー率13.5%,難易度5位/9ホール中 平均スコア5.37 平均パット数2.05 パーオン率17.5% フェアウェイ率47.5% OB率5.0% バンカー率13.5%
