,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：358yd,Hdcp：,PAR：5,Reg.：473yd,Hdcp：,PAR：3,Reg.：149yd,Hdcp：
1,左にゆくるドッグレッグしたミドルホール,左にゆくるドッグレッグしたミドルホール,左にゆくるドッグレッグしたミドルホール,左のクロバンカー越えがベストルート,左のクロバンカー越えがベストルート,左のクロバンカー越えがベストルート,白鳥と大きな池、そして水面に映る阿蘇の山,白鳥と大きな池、そして水面に映る阿蘇の山,白鳥と大きな池、そして水面に映る阿蘇の山
2,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：373yd,Hdcp：,PAR：5,Reg.：462yd,Hdcp：,PAR：4,Reg.：377yd,Hdcp：
5,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,フェアウェイを２分する杉林まで230ヤード,フェアウェイを２分する杉林まで230ヤード,フェアウェイを２分する杉林まで230ヤード,フェアウェイが左に傾いているため右サイドが狙い目,フェアウェイが左に傾いているため右サイドが狙い目,フェアウェイが左に傾いているため右サイドが狙い目
6,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：168yd,Hdcp：,PAR：4,Reg.：327yd,Hdcp：,PAR：4,Reg.：312yd,Hdcp：
9,左サイドさえ注意すれば、比較的攻め易いホール,左サイドさえ注意すれば、比較的攻め易いホール,左サイドさえ注意すれば、比較的攻め易いホール,正面左にある大きな松が目標,正面左にある大きな松が目標,正面左にある大きな松が目標,180ヤード位から左にドッグレッグしたホール,180ヤード位から左にドッグレッグしたホール,180ヤード位から左にドッグレッグしたホール
10,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-,難易度-位/9ホール中 平均スコア- 平均パット数- パーオン率- フェアウェイ率- OB率- バンカー率-
