,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：362yd,Hdcp：4,PAR：4,Reg.：361yd,Hdcp：10,PAR：3,Reg.：123yd,Hdcp：16
1,第1打、２打ともに右側はOB　左側狙いで,第1打、２打ともに右側はOB　左側狙いで,第1打、２打ともに右側はOB　左側狙いで,フェアウェイ右側狙いが良,フェアウェイ右側狙いが良,フェアウェイ右側狙いが良,手前にOB　大きめのクラブで攻める,手前にOB　大きめのクラブで攻める,手前にOB　大きめのクラブで攻める
2,難易度5位/9ホール中 平均スコア5.32 平均パット数2.05 パーオン率23.0% フェアウェイ率64.0% OB率13.3% バンカー率14.3%,難易度5位/9ホール中 平均スコア5.32 平均パット数2.05 パーオン率23.0% フェアウェイ率64.0% OB率13.3% バンカー率14.3%,難易度5位/9ホール中 平均スコア5.32 平均パット数2.05 パーオン率23.0% フェアウェイ率64.0% OB率13.3% バンカー率14.3%,難易度7位/9ホール中 平均スコア5.21 平均パット数1.97 パーオン率25.3% フェアウェイ率59.0% OB率27.0% バンカー率5.0%,難易度7位/9ホール中 平均スコア5.21 平均パット数1.97 パーオン率25.3% フェアウェイ率59.0% OB率27.0% バンカー率5.0%,難易度7位/9ホール中 平均スコア5.21 平均パット数1.97 パーオン率25.3% フェアウェイ率59.0% OB率27.0% バンカー率5.0%,難易度9位/9ホール中 平均スコア3.94 平均パット数1.99 パーオン率34.8% フェアウェイ率- OB率27.3% バンカー率17.5%,難易度9位/9ホール中 平均スコア3.94 平均パット数1.99 パーオン率34.8% フェアウェイ率- OB率27.3% バンカー率17.5%,難易度9位/9ホール中 平均スコア3.94 平均パット数1.99 パーオン率34.8% フェアウェイ率- OB率27.3% バンカー率17.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：346yd,Hdcp：14,PAR：4,Reg.：351yd,Hdcp：2,PAR：5,Reg.：539yd,Hdcp：8
5,距離はないが正確なショットが必要,距離はないが正確なショットが必要,距離はないが正確なショットが必要,砲台グリーン　２打の距離を間違えないように,砲台グリーン　２打の距離を間違えないように,砲台グリーン　２打の距離を間違えないように,クリークに注意,クリークに注意,クリークに注意
6,難易度6位/9ホール中 平均スコア5.25 平均パット数2 パーオン率24.5% フェアウェイ率59.8% OB率10.3% バンカー率10.3%,難易度6位/9ホール中 平均スコア5.25 平均パット数2 パーオン率24.5% フェアウェイ率59.8% OB率10.3% バンカー率10.3%,難易度6位/9ホール中 平均スコア5.25 平均パット数2 パーオン率24.5% フェアウェイ率59.8% OB率10.3% バンカー率10.3%,難易度4位/9ホール中 平均スコア5.29 平均パット数2.02 パーオン率23.5% フェアウェイ率62.0% OB率16.0% バンカー率18.0%,難易度4位/9ホール中 平均スコア5.29 平均パット数2.02 パーオン率23.5% フェアウェイ率62.0% OB率16.0% バンカー率18.0%,難易度4位/9ホール中 平均スコア5.29 平均パット数2.02 パーオン率23.5% フェアウェイ率62.0% OB率16.0% バンカー率18.0%,難易度2位/9ホール中 平均スコア6.48 平均パット数1.96 パーオン率19.8% フェアウェイ率57.5% OB率11.0% バンカー率4.7%,難易度2位/9ホール中 平均スコア6.48 平均パット数1.96 パーオン率19.8% フェアウェイ率57.5% OB率11.0% バンカー率4.7%,難易度2位/9ホール中 平均スコア6.48 平均パット数1.96 パーオン率19.8% フェアウェイ率57.5% OB率11.0% バンカー率4.7%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：372yd,Hdcp：6,PAR：3,Reg.：174yd,Hdcp：18,PAR：5,Reg.：573yd,Hdcp：12
9,第１打、２打とも打ち上げ　大きめのクラブで,第１打、２打とも打ち上げ　大きめのクラブで,第１打、２打とも打ち上げ　大きめのクラブで,手前池、左にバンカー,手前池、左にバンカー,手前池、左にバンカー,無理せずミスショットのないよう攻めるが良,無理せずミスショットのないよう攻めるが良,無理せずミスショットのないよう攻めるが良
10,難易度3位/9ホール中 平均スコア5.39 平均パット数1.98 パーオン率17.8% フェアウェイ率59.3% OB率19.7% バンカー率5.5%,難易度3位/9ホール中 平均スコア5.39 平均パット数1.98 パーオン率17.8% フェアウェイ率59.3% OB率19.7% バンカー率5.5%,難易度3位/9ホール中 平均スコア5.39 平均パット数1.98 パーオン率17.8% フェアウェイ率59.3% OB率19.7% バンカー率5.5%,難易度8位/9ホール中 平均スコア4.02 平均パット数1.96 パーオン率32.8% フェアウェイ率- OB率13.5% バンカー率4.8%,難易度8位/9ホール中 平均スコア4.02 平均パット数1.96 パーオン率32.8% フェアウェイ率- OB率13.5% バンカー率4.8%,難易度8位/9ホール中 平均スコア4.02 平均パット数1.96 パーオン率32.8% フェアウェイ率- OB率13.5% バンカー率4.8%,難易度1位/9ホール中 平均スコア6.51 平均パット数2.05 パーオン率17.8% フェアウェイ率51.8% OB率5.8% バンカー率16.3%,難易度1位/9ホール中 平均スコア6.51 平均パット数2.05 パーオン率17.8% フェアウェイ率51.8% OB率5.8% バンカー率16.3%,難易度1位/9ホール中 平均スコア6.51 平均パット数2.05 パーオン率17.8% フェアウェイ率51.8% OB率5.8% バンカー率16.3%
