,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：368yd,Hdcp：13,PAR：4,Reg.：351yd,Hdcp：11,PAR：3,Reg.：151yd,Hdcp：15
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,短いショートホール,短いショートホール,短いショートホール
2,難易度12位/18ホール中 平均スコア5.19 平均パット数2.01 パーオン率24.8% フェアウェイ率40.8% OB率23.8% バンカー率16.0%,難易度12位/18ホール中 平均スコア5.19 平均パット数2.01 パーオン率24.8% フェアウェイ率40.8% OB率23.8% バンカー率16.0%,難易度12位/18ホール中 平均スコア5.19 平均パット数2.01 パーオン率24.8% フェアウェイ率40.8% OB率23.8% バンカー率16.0%,難易度13位/18ホール中 平均スコア5.18 平均パット数2.03 パーオン率30.5% フェアウェイ率42.8% OB率30.8% バンカー率19.0%,難易度13位/18ホール中 平均スコア5.18 平均パット数2.03 パーオン率30.5% フェアウェイ率42.8% OB率30.8% バンカー率19.0%,難易度13位/18ホール中 平均スコア5.18 平均パット数2.03 パーオン率30.5% フェアウェイ率42.8% OB率30.8% バンカー率19.0%,難易度18位/18ホール中 平均スコア3.75 平均パット数2.01 パーオン率42.3% フェアウェイ率- OB率4.8% バンカー率30.0%,難易度18位/18ホール中 平均スコア3.75 平均パット数2.01 パーオン率42.3% フェアウェイ率- OB率4.8% バンカー率30.0%,難易度18位/18ホール中 平均スコア3.75 平均パット数2.01 パーオン率42.3% フェアウェイ率- OB率4.8% バンカー率30.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：353yd,Hdcp：9,PAR：5,Reg.：527yd,Hdcp：5,PAR：4,Reg.：407yd,Hdcp：1
5,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,ほぼ真っ直ぐなロングホール,ほぼ真っ直ぐなロングホール,ほぼ真っ直ぐなロングホール,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール
6,難易度10位/18ホール中 平均スコア5.3 平均パット数2.03 パーオン率26.0% フェアウェイ率37.0% OB率36.8% バンカー率15.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.03 パーオン率26.0% フェアウェイ率37.0% OB率36.8% バンカー率15.0%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.03 パーオン率26.0% フェアウェイ率37.0% OB率36.8% バンカー率15.0%,難易度4位/18ホール中 平均スコア6.51 平均パット数2 パーオン率23.5% フェアウェイ率42.8% OB率43.3% バンカー率20.0%,難易度4位/18ホール中 平均スコア6.51 平均パット数2 パーオン率23.5% フェアウェイ率42.8% OB率43.3% バンカー率20.0%,難易度4位/18ホール中 平均スコア6.51 平均パット数2 パーオン率23.5% フェアウェイ率42.8% OB率43.3% バンカー率20.0%,難易度6位/18ホール中 平均スコア5.45 平均パット数1.99 パーオン率18.0% フェアウェイ率36.3% OB率38.0% バンカー率21.5%,難易度6位/18ホール中 平均スコア5.45 平均パット数1.99 パーオン率18.0% フェアウェイ率36.3% OB率38.0% バンカー率21.5%,難易度6位/18ホール中 平均スコア5.45 平均パット数1.99 パーオン率18.0% フェアウェイ率36.3% OB率38.0% バンカー率21.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：168yd,Hdcp：17,PAR：4,Reg.：433yd,Hdcp：3,PAR：5,Reg.：511yd,Hdcp：7
9,ショートホール,ショートホール,ショートホール,長いミドルホール,長いミドルホール,長いミドルホール,ほぼ真っ直ぐなロングホール,ほぼ真っ直ぐなロングホール,ほぼ真っ直ぐなロングホール
10,難易度17位/18ホール中 平均スコア3.86 平均パット数2 パーオン率36.0% フェアウェイ率- OB率10.8% バンカー率22.0%,難易度17位/18ホール中 平均スコア3.86 平均パット数2 パーオン率36.0% フェアウェイ率- OB率10.8% バンカー率22.0%,難易度17位/18ホール中 平均スコア3.86 平均パット数2 パーオン率36.0% フェアウェイ率- OB率10.8% バンカー率22.0%,難易度3位/18ホール中 平均スコア5.66 平均パット数2.05 パーオン率11.8% フェアウェイ率36.5% OB率41.3% バンカー率19.0%,難易度3位/18ホール中 平均スコア5.66 平均パット数2.05 パーオン率11.8% フェアウェイ率36.5% OB率41.3% バンカー率19.0%,難易度3位/18ホール中 平均スコア5.66 平均パット数2.05 パーオン率11.8% フェアウェイ率36.5% OB率41.3% バンカー率19.0%,難易度7位/18ホール中 平均スコア6.37 平均パット数2.04 パーオン率29.3% フェアウェイ率41.0% OB率37.8% バンカー率19.0%,難易度7位/18ホール中 平均スコア6.37 平均パット数2.04 パーオン率29.3% フェアウェイ率41.0% OB率37.8% バンカー率19.0%,難易度7位/18ホール中 平均スコア6.37 平均パット数2.04 パーオン率29.3% フェアウェイ率41.0% OB率37.8% バンカー率19.0%
