,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：413yd,Hdcp：2,PAR：4,Reg.：340yd,Hdcp：12,PAR：3,Reg.：190yd,Hdcp：16
1,長いミドルホール,長いミドルホール,長いミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,ショートホール,ショートホール,ショートホール
2,難易度3位/18ホール中 平均スコア5.55 平均パット数2.01 パーオン率12.3% フェアウェイ率42.0% OB率18.8% バンカー率30.3%,難易度3位/18ホール中 平均スコア5.55 平均パット数2.01 パーオン率12.3% フェアウェイ率42.0% OB率18.8% バンカー率30.3%,難易度3位/18ホール中 平均スコア5.55 平均パット数2.01 パーオン率12.3% フェアウェイ率42.0% OB率18.8% バンカー率30.3%,難易度13位/18ホール中 平均スコア5.11 平均パット数2.01 パーオン率31.3% フェアウェイ率42.0% OB率23.8% バンカー率30.0%,難易度13位/18ホール中 平均スコア5.11 平均パット数2.01 パーオン率31.3% フェアウェイ率42.0% OB率23.8% バンカー率30.0%,難易度13位/18ホール中 平均スコア5.11 平均パット数2.01 パーオン率31.3% フェアウェイ率42.0% OB率23.8% バンカー率30.0%,難易度16位/18ホール中 平均スコア3.96 平均パット数1.96 パーオン率24.5% フェアウェイ率- OB率5.8% バンカー率24.0%,難易度16位/18ホール中 平均スコア3.96 平均パット数1.96 パーオン率24.5% フェアウェイ率- OB率5.8% バンカー率24.0%,難易度16位/18ホール中 平均スコア3.96 平均パット数1.96 パーオン率24.5% フェアウェイ率- OB率5.8% バンカー率24.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：503yd,Hdcp：4,PAR：4,Reg.：325yd,Hdcp：14,PAR：3,Reg.：170yd,Hdcp：18
5,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,ショートホール,ショートホール,ショートホール
6,難易度12位/18ホール中 平均スコア6.24 平均パット数2 パーオン率30.3% フェアウェイ率41.5% OB率31.5% バンカー率26.8%,難易度12位/18ホール中 平均スコア6.24 平均パット数2 パーオン率30.3% フェアウェイ率41.5% OB率31.5% バンカー率26.8%,難易度12位/18ホール中 平均スコア6.24 平均パット数2 パーオン率30.3% フェアウェイ率41.5% OB率31.5% バンカー率26.8%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.04 パーオン率35.3% フェアウェイ率46.0% OB率27.8% バンカー率30.8%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.04 パーオン率35.3% フェアウェイ率46.0% OB率27.8% バンカー率30.8%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.04 パーオン率35.3% フェアウェイ率46.0% OB率27.8% バンカー率30.8%,難易度15位/18ホール中 平均スコア3.98 平均パット数1.98 パーオン率28.8% フェアウェイ率- OB率6.8% バンカー率41.8%,難易度15位/18ホール中 平均スコア3.98 平均パット数1.98 パーオン率28.8% フェアウェイ率- OB率6.8% バンカー率41.8%,難易度15位/18ホール中 平均スコア3.98 平均パット数1.98 パーオン率28.8% フェアウェイ率- OB率6.8% バンカー率41.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：360yd,Hdcp：10,PAR：4,Reg.：384yd,Hdcp：8,PAR：5,Reg.：515yd,Hdcp：6
9,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
10,難易度11位/18ホール中 平均スコア5.29 平均パット数1.99 パーオン率22.8% フェアウェイ率41.0% OB率23.8% バンカー率26.3%,難易度11位/18ホール中 平均スコア5.29 平均パット数1.99 パーオン率22.8% フェアウェイ率41.0% OB率23.8% バンカー率26.3%,難易度11位/18ホール中 平均スコア5.29 平均パット数1.99 パーオン率22.8% フェアウェイ率41.0% OB率23.8% バンカー率26.3%,難易度7位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率19.5% フェアウェイ率38.8% OB率33.8% バンカー率20.0%,難易度7位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率19.5% フェアウェイ率38.8% OB率33.8% バンカー率20.0%,難易度7位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率19.5% フェアウェイ率38.8% OB率33.8% バンカー率20.0%,難易度4位/18ホール中 平均スコア6.39 平均パット数2.03 パーオン率28.8% フェアウェイ率46.0% OB率33.3% バンカー率23.0%,難易度4位/18ホール中 平均スコア6.39 平均パット数2.03 パーオン率28.8% フェアウェイ率46.0% OB率33.3% バンカー率23.0%,難易度4位/18ホール中 平均スコア6.39 平均パット数2.03 パーオン率28.8% フェアウェイ率46.0% OB率33.3% バンカー率23.0%
