,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：351yd,Hdcp：5,PAR：4,Reg.：372yd,Hdcp：8,PAR：4,Reg.：419yd,Hdcp：2
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,左ドッグレッグのミドル　グリーン奥に赤城の山々,左ドッグレッグのミドル　グリーン奥に赤城の山々,左ドッグレッグのミドル　グリーン奥に赤城の山々,１打目が打ち下ろしのミドルホール,１打目が打ち下ろしのミドルホール,１打目が打ち下ろしのミドルホール
2,難易度4位/9ホール中 平均スコア5.31 平均パット数1.94 パーオン率19.0% フェアウェイ率43.0% OB率- バンカー率31.5%,難易度4位/9ホール中 平均スコア5.31 平均パット数1.94 パーオン率19.0% フェアウェイ率43.0% OB率- バンカー率31.5%,難易度4位/9ホール中 平均スコア5.31 平均パット数1.94 パーオン率19.0% フェアウェイ率43.0% OB率- バンカー率31.5%,難易度7位/9ホール中 平均スコア5.17 平均パット数1.89 パーオン率22.0% フェアウェイ率52.3% OB率22.5% バンカー率13.0%,難易度7位/9ホール中 平均スコア5.17 平均パット数1.89 パーオン率22.0% フェアウェイ率52.3% OB率22.5% バンカー率13.0%,難易度7位/9ホール中 平均スコア5.17 平均パット数1.89 パーオン率22.0% フェアウェイ率52.3% OB率22.5% バンカー率13.0%,難易度1位/9ホール中 平均スコア5.9 平均パット数2.15 パーオン率9.0% フェアウェイ率45.0% OB率23.5% バンカー率35.3%,難易度1位/9ホール中 平均スコア5.9 平均パット数2.15 パーオン率9.0% フェアウェイ率45.0% OB率23.5% バンカー率35.3%,難易度1位/9ホール中 平均スコア5.9 平均パット数2.15 パーオン率9.0% フェアウェイ率45.0% OB率23.5% バンカー率35.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：160yd,Hdcp：4,PAR：4,Reg.：346yd,Hdcp：7,PAR：4,Reg.：357yd,Hdcp：1
5,パー３、ティは展望台の異名あり,パー３、ティは展望台の異名あり,パー３、ティは展望台の異名あり,距離の短いミドルホール,距離の短いミドルホール,距離の短いミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
6,難易度8位/9ホール中 平均スコア4.05 平均パット数1.88 パーオン率17.0% フェアウェイ率- OB率13.0% バンカー率42.0%,難易度8位/9ホール中 平均スコア4.05 平均パット数1.88 パーオン率17.0% フェアウェイ率- OB率13.0% バンカー率42.0%,難易度8位/9ホール中 平均スコア4.05 平均パット数1.88 パーオン率17.0% フェアウェイ率- OB率13.0% バンカー率42.0%,難易度3位/9ホール中 平均スコア5.32 平均パット数2.06 パーオン率21.0% フェアウェイ率61.5% OB率7.5% バンカー率47.0%,難易度3位/9ホール中 平均スコア5.32 平均パット数2.06 パーオン率21.0% フェアウェイ率61.5% OB率7.5% バンカー率47.0%,難易度3位/9ホール中 平均スコア5.32 平均パット数2.06 パーオン率21.0% フェアウェイ率61.5% OB率7.5% バンカー率47.0%,難易度2位/9ホール中 平均スコア5.43 平均パット数2.07 パーオン率18.7% フェアウェイ率52.0% OB率17.5% バンカー率50.3%,難易度2位/9ホール中 平均スコア5.43 平均パット数2.07 パーオン率18.7% フェアウェイ率52.0% OB率17.5% バンカー率50.3%,難易度2位/9ホール中 平均スコア5.43 平均パット数2.07 パーオン率18.7% フェアウェイ率52.0% OB率17.5% バンカー率50.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：536yd,Hdcp：3,PAR：3,Reg.：177yd,Hdcp：6,PAR：5,Reg.：488yd,Hdcp：9
9,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,美しい山々を眺望できるパー３,美しい山々を眺望できるパー３,美しい山々を眺望できるパー３,Ｓ字のロングホール　手前がＬ（左）グリーン,Ｓ字のロングホール　手前がＬ（左）グリーン,Ｓ字のロングホール　手前がＬ（左）グリーン
10,難易度9位/9ホール中 平均スコア6.13 平均パット数1.96 パーオン率33.8% フェアウェイ率55.5% OB率18.0% バンカー率19.0%,難易度9位/9ホール中 平均スコア6.13 平均パット数1.96 パーオン率33.8% フェアウェイ率55.5% OB率18.0% バンカー率19.0%,難易度9位/9ホール中 平均スコア6.13 平均パット数1.96 パーオン率33.8% フェアウェイ率55.5% OB率18.0% バンカー率19.0%,難易度5位/9ホール中 平均スコア4.35 平均パット数1.95 パーオン率17.3% フェアウェイ率- OB率15.3% バンカー率43.8%,難易度5位/9ホール中 平均スコア4.35 平均パット数1.95 パーオン率17.3% フェアウェイ率- OB率15.3% バンカー率43.8%,難易度5位/9ホール中 平均スコア4.35 平均パット数1.95 パーオン率17.3% フェアウェイ率- OB率15.3% バンカー率43.8%,難易度6位/9ホール中 平均スコア6.27 平均パット数2.03 パーオン率36.3% フェアウェイ率66.5% OB率18.3% バンカー率28.8%,難易度6位/9ホール中 平均スコア6.27 平均パット数2.03 パーオン率36.3% フェアウェイ率66.5% OB率18.3% バンカー率28.8%,難易度6位/9ホール中 平均スコア6.27 平均パット数2.03 パーオン率36.3% フェアウェイ率66.5% OB率18.3% バンカー率28.8%
