,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：524yd,Hdcp：9,PAR：3,Reg.：184yd,Hdcp：15,PAR：4,Reg.：373yd,Hdcp：3
1,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
2,難易度4位/18ホール中 平均スコア6.53 平均パット数2.1 パーオン率20.0% フェアウェイ率50.5% OB率8.3% バンカー率12.8%,難易度4位/18ホール中 平均スコア6.53 平均パット数2.1 パーオン率20.0% フェアウェイ率50.5% OB率8.3% バンカー率12.8%,難易度4位/18ホール中 平均スコア6.53 平均パット数2.1 パーオン率20.0% フェアウェイ率50.5% OB率8.3% バンカー率12.8%,難易度15位/18ホール中 平均スコア3.97 平均パット数2.01 パーオン率26.3% フェアウェイ率- OB率7.8% バンカー率4.5%,難易度15位/18ホール中 平均スコア3.97 平均パット数2.01 パーオン率26.3% フェアウェイ率- OB率7.8% バンカー率4.5%,難易度15位/18ホール中 平均スコア3.97 平均パット数2.01 パーオン率26.3% フェアウェイ率- OB率7.8% バンカー率4.5%,難易度11位/18ホール中 平均スコア5.36 平均パット数2.06 パーオン率19.3% フェアウェイ率50.3% OB率17.5% バンカー率2.3%,難易度11位/18ホール中 平均スコア5.36 平均パット数2.06 パーオン率19.3% フェアウェイ率50.3% OB率17.5% バンカー率2.3%,難易度11位/18ホール中 平均スコア5.36 平均パット数2.06 パーオン率19.3% フェアウェイ率50.3% OB率17.5% バンカー率2.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：390yd,Hdcp：7,PAR：4,Reg.：369yd,Hdcp：1,PAR：3,Reg.：154yd,Hdcp：13
5,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
6,難易度10位/18ホール中 平均スコア5.42 平均パット数2.06 パーオン率18.8% フェアウェイ率53.5% OB率33.5% バンカー率8.3%,難易度10位/18ホール中 平均スコア5.42 平均パット数2.06 パーオン率18.8% フェアウェイ率53.5% OB率33.5% バンカー率8.3%,難易度10位/18ホール中 平均スコア5.42 平均パット数2.06 パーオン率18.8% フェアウェイ率53.5% OB率33.5% バンカー率8.3%,難易度5位/18ホール中 平均スコア5.48 平均パット数2.09 パーオン率18.8% フェアウェイ率58.0% OB率16.8% バンカー率4.3%,難易度5位/18ホール中 平均スコア5.48 平均パット数2.09 パーオン率18.8% フェアウェイ率58.0% OB率16.8% バンカー率4.3%,難易度5位/18ホール中 平均スコア5.48 平均パット数2.09 パーオン率18.8% フェアウェイ率58.0% OB率16.8% バンカー率4.3%,難易度18位/18ホール中 平均スコア3.81 平均パット数2.09 パーオン率47.5% フェアウェイ率- OB率2.0% バンカー率6.8%,難易度18位/18ホール中 平均スコア3.81 平均パット数2.09 パーオン率47.5% フェアウェイ率- OB率2.0% バンカー率6.8%,難易度18位/18ホール中 平均スコア3.81 平均パット数2.09 パーオン率47.5% フェアウェイ率- OB率2.0% バンカー率6.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：362yd,Hdcp：17,PAR：5,Reg.：477yd,Hdcp：11,PAR：4,Reg.：380yd,Hdcp：5
9,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度13位/18ホール中 平均スコア5.18 平均パット数2.04 パーオン率25.8% フェアウェイ率60.3% OB率5.7% バンカー率1.0%,難易度13位/18ホール中 平均スコア5.18 平均パット数2.04 パーオン率25.8% フェアウェイ率60.3% OB率5.7% バンカー率1.0%,難易度13位/18ホール中 平均スコア5.18 平均パット数2.04 パーオン率25.8% フェアウェイ率60.3% OB率5.7% バンカー率1.0%,難易度14位/18ホール中 平均スコア6.15 平均パット数2.06 パーオン率36.0% フェアウェイ率61.0% OB率21.8% バンカー率13.7%,難易度14位/18ホール中 平均スコア6.15 平均パット数2.06 パーオン率36.0% フェアウェイ率61.0% OB率21.8% バンカー率13.7%,難易度14位/18ホール中 平均スコア6.15 平均パット数2.06 パーオン率36.0% フェアウェイ率61.0% OB率21.8% バンカー率13.7%,難易度6位/18ホール中 平均スコア5.47 平均パット数2.08 パーオン率16.8% フェアウェイ率51.5% OB率2.3% バンカー率10.5%,難易度6位/18ホール中 平均スコア5.47 平均パット数2.08 パーオン率16.8% フェアウェイ率51.5% OB率2.3% バンカー率10.5%,難易度6位/18ホール中 平均スコア5.47 平均パット数2.08 パーオン率16.8% フェアウェイ率51.5% OB率2.3% バンカー率10.5%
