,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：504yd,Hdcp：9,PAR：4,Reg.：380yd,Hdcp：3,PAR：4,Reg.：323yd,Hdcp：15
1,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,長いミドルホール,長いミドルホール,長いミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
2,難易度4位/18ホール中 平均スコア6.41 平均パット数2.04 パーオン率23.0% フェアウェイ率52.5% OB率19.0% バンカー率12.5%,難易度4位/18ホール中 平均スコア6.41 平均パット数2.04 パーオン率23.0% フェアウェイ率52.5% OB率19.0% バンカー率12.5%,難易度4位/18ホール中 平均スコア6.41 平均パット数2.04 パーオン率23.0% フェアウェイ率52.5% OB率19.0% バンカー率12.5%,難易度5位/18ホール中 平均スコア5.45 平均パット数1.99 パーオン率15.0% フェアウェイ率48.0% OB率8.0% バンカー率24.5%,難易度5位/18ホール中 平均スコア5.45 平均パット数1.99 パーオン率15.0% フェアウェイ率48.0% OB率8.0% バンカー率24.5%,難易度5位/18ホール中 平均スコア5.45 平均パット数1.99 パーオン率15.0% フェアウェイ率48.0% OB率8.0% バンカー率24.5%,難易度11位/18ホール中 平均スコア5.23 平均パット数2.04 パーオン率25.0% フェアウェイ率51.0% OB率3.0% バンカー率12.5%,難易度11位/18ホール中 平均スコア5.23 平均パット数2.04 パーオン率25.0% フェアウェイ率51.0% OB率3.0% バンカー率12.5%,難易度11位/18ホール中 平均スコア5.23 平均パット数2.04 パーオン率25.0% フェアウェイ率51.0% OB率3.0% バンカー率12.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：137yd,Hdcp：13,PAR：5,Reg.：397yd,Hdcp：1,PAR：4,Reg.：339yd,Hdcp：7
5,池越えのショートホール,池越えのショートホール,池越えのショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
6,難易度17位/18ホール中 平均スコア3.98 平均パット数2.03 パーオン率33.0% フェアウェイ率- OB率3.5% バンカー率14.3%,難易度17位/18ホール中 平均スコア3.98 平均パット数2.03 パーオン率33.0% フェアウェイ率- OB率3.5% バンカー率14.3%,難易度17位/18ホール中 平均スコア3.98 平均パット数2.03 パーオン率33.0% フェアウェイ率- OB率3.5% バンカー率14.3%,難易度14位/18ホール中 平均スコア5.93 平均パット数1.98 パーオン率41.3% フェアウェイ率58.3% OB率22.5% バンカー率9.5%,難易度14位/18ホール中 平均スコア5.93 平均パット数1.98 パーオン率41.3% フェアウェイ率58.3% OB率22.5% バンカー率9.5%,難易度14位/18ホール中 平均スコア5.93 平均パット数1.98 パーオン率41.3% フェアウェイ率58.3% OB率22.5% バンカー率9.5%,難易度8位/18ホール中 平均スコア5.34 平均パット数2.01 パーオン率19.8% フェアウェイ率60.3% OB率26.0% バンカー率11.3%,難易度8位/18ホール中 平均スコア5.34 平均パット数2.01 パーオン率19.8% フェアウェイ率60.3% OB率26.0% バンカー率11.3%,難易度8位/18ホール中 平均スコア5.34 平均パット数2.01 パーオン率19.8% フェアウェイ率60.3% OB率26.0% バンカー率11.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：132yd,Hdcp：17,PAR：4,Reg.：363yd,Hdcp：5,PAR：4,Reg.：338yd,Hdcp：11
9,短いショートホール,短いショートホール,短いショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度18位/18ホール中 平均スコア3.91 平均パット数1.99 パーオン率31.3% フェアウェイ率- OB率2.7% バンカー率19.3%,難易度18位/18ホール中 平均スコア3.91 平均パット数1.99 パーオン率31.3% フェアウェイ率- OB率2.7% バンカー率19.3%,難易度18位/18ホール中 平均スコア3.91 平均パット数1.99 パーオン率31.3% フェアウェイ率- OB率2.7% バンカー率19.3%,難易度3位/18ホール中 平均スコア5.48 平均パット数2.07 パーオン率16.0% フェアウェイ率53.0% OB率7.8% バンカー率18.5%,難易度3位/18ホール中 平均スコア5.48 平均パット数2.07 パーオン率16.0% フェアウェイ率53.0% OB率7.8% バンカー率18.5%,難易度3位/18ホール中 平均スコア5.48 平均パット数2.07 パーオン率16.0% フェアウェイ率53.0% OB率7.8% バンカー率18.5%,難易度10位/18ホール中 平均スコア5.24 平均パット数1.99 パーオン率22.3% フェアウェイ率55.5% OB率3.7% バンカー率13.0%,難易度10位/18ホール中 平均スコア5.24 平均パット数1.99 パーオン率22.3% フェアウェイ率55.5% OB率3.7% バンカー率13.0%,難易度10位/18ホール中 平均スコア5.24 平均パット数1.99 パーオン率22.3% フェアウェイ率55.5% OB率3.7% バンカー率13.0%
