,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：335yd,Hdcp：7,PAR：4,Reg.：377yd,Hdcp：5,PAR：5,Reg.：547yd,Hdcp：2
1,ストレートなミドルホール,ストレートなミドルホール,ストレートなミドルホール,緩やかな打ち上げのミドルホール,緩やかな打ち上げのミドルホール,緩やかな打ち上げのミドルホール,距離のあるロングホール　手前がＬ（左）グリーン,距離のあるロングホール　手前がＬ（左）グリーン,距離のあるロングホール　手前がＬ（左）グリーン
2,難易度7位/9ホール中 平均スコア5.32 平均パット数2.05 パーオン率20.0% フェアウェイ率38.5% OB率8.3% バンカー率38.8%,難易度7位/9ホール中 平均スコア5.32 平均パット数2.05 パーオン率20.0% フェアウェイ率38.5% OB率8.3% バンカー率38.8%,難易度7位/9ホール中 平均スコア5.32 平均パット数2.05 パーオン率20.0% フェアウェイ率38.5% OB率8.3% バンカー率38.8%,難易度4位/9ホール中 平均スコア5.64 平均パット数2.02 パーオン率10.5% フェアウェイ率50.5% OB率2.3% バンカー率23.8%,難易度4位/9ホール中 平均スコア5.64 平均パット数2.02 パーオン率10.5% フェアウェイ率50.5% OB率2.3% バンカー率23.8%,難易度4位/9ホール中 平均スコア5.64 平均パット数2.02 パーオン率10.5% フェアウェイ率50.5% OB率2.3% バンカー率23.8%,難易度3位/9ホール中 平均スコア6.67 平均パット数2.03 パーオン率15.3% フェアウェイ率54.3% OB率14.8% バンカー率29.0%,難易度3位/9ホール中 平均スコア6.67 平均パット数2.03 パーオン率15.3% フェアウェイ率54.3% OB率14.8% バンカー率29.0%,難易度3位/9ホール中 平均スコア6.67 平均パット数2.03 パーオン率15.3% フェアウェイ率54.3% OB率14.8% バンカー率29.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：172yd,Hdcp：8,PAR：4,Reg.：326yd,Hdcp：4,PAR：4,Reg.：411yd,Hdcp：1
5,やや打ち上げで距離のあるショートホール,やや打ち上げで距離のあるショートホール,やや打ち上げで距離のあるショートホール,打ち上げのミドルホール,打ち上げのミドルホール,打ち上げのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール
6,難易度8位/9ホール中 平均スコア4.1 平均パット数2.01 パーオン率21.8% フェアウェイ率- OB率15.3% バンカー率37.5%,難易度8位/9ホール中 平均スコア4.1 平均パット数2.01 パーオン率21.8% フェアウェイ率- OB率15.3% バンカー率37.5%,難易度8位/9ホール中 平均スコア4.1 平均パット数2.01 パーオン率21.8% フェアウェイ率- OB率15.3% バンカー率37.5%,難易度5位/9ホール中 平均スコア5.47 平均パット数2.09 パーオン率19.3% フェアウェイ率49.8% OB率29.3% バンカー率38.5%,難易度5位/9ホール中 平均スコア5.47 平均パット数2.09 パーオン率19.3% フェアウェイ率49.8% OB率29.3% バンカー率38.5%,難易度5位/9ホール中 平均スコア5.47 平均パット数2.09 パーオン率19.3% フェアウェイ率49.8% OB率29.3% バンカー率38.5%,難易度2位/9ホール中 平均スコア5.68 平均パット数2.03 パーオン率9.3% フェアウェイ率58.5% OB率25.0% バンカー率27.3%,難易度2位/9ホール中 平均スコア5.68 平均パット数2.03 パーオン率9.3% フェアウェイ率58.5% OB率25.0% バンカー率27.3%,難易度2位/9ホール中 平均スコア5.68 平均パット数2.03 パーオン率9.3% フェアウェイ率58.5% OB率25.0% バンカー率27.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：162yd,Hdcp：9,PAR：5,Reg.：513yd,Hdcp：3,PAR：4,Reg.：405yd,Hdcp：6
9,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール,緩やかに打ち下ろしていくロングホール,緩やかに打ち下ろしていくロングホール,緩やかに打ち下ろしていくロングホール,豪快に打ち下ろすミドルホール,豪快に打ち下ろすミドルホール,豪快に打ち下ろすミドルホール
10,難易度9位/9ホール中 平均スコア3.98 平均パット数1.99 パーオン率31.0% フェアウェイ率- OB率15.3% バンカー率45.0%,難易度9位/9ホール中 平均スコア3.98 平均パット数1.99 パーオン率31.0% フェアウェイ率- OB率15.3% バンカー率45.0%,難易度9位/9ホール中 平均スコア3.98 平均パット数1.99 パーオン率31.0% フェアウェイ率- OB率15.3% バンカー率45.0%,難易度6位/9ホール中 平均スコア6.36 平均パット数2 パーオン率27.3% フェアウェイ率58.3% OB率30.0% バンカー率23.8%,難易度6位/9ホール中 平均スコア6.36 平均パット数2 パーオン率27.3% フェアウェイ率58.3% OB率30.0% バンカー率23.8%,難易度6位/9ホール中 平均スコア6.36 平均パット数2 パーオン率27.3% フェアウェイ率58.3% OB率30.0% バンカー率23.8%,難易度1位/9ホール中 平均スコア5.72 平均パット数2.02 パーオン率10.3% フェアウェイ率51.0% OB率42.0% バンカー率21.3%,難易度1位/9ホール中 平均スコア5.72 平均パット数2.02 パーオン率10.3% フェアウェイ率51.0% OB率42.0% バンカー率21.3%,難易度1位/9ホール中 平均スコア5.72 平均パット数2.02 パーオン率10.3% フェアウェイ率51.0% OB率42.0% バンカー率21.3%
