,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：390yd,Hdcp：6,PAR：4,Reg.：382yd,Hdcp：5,PAR：3,Reg.：141yd,Hdcp：8
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
2,難易度2位/9ホール中 平均スコア5.48 平均パット数1.89 パーオン率11.5% フェアウェイ率43.5% OB率21.3% バンカー率19.0%,難易度2位/9ホール中 平均スコア5.48 平均パット数1.89 パーオン率11.5% フェアウェイ率43.5% OB率21.3% バンカー率19.0%,難易度2位/9ホール中 平均スコア5.48 平均パット数1.89 パーオン率11.5% フェアウェイ率43.5% OB率21.3% バンカー率19.0%,難易度4位/9ホール中 平均スコア5.43 平均パット数1.82 パーオン率10.5% フェアウェイ率39.8% OB率32.3% バンカー率12.3%,難易度4位/9ホール中 平均スコア5.43 平均パット数1.82 パーオン率10.5% フェアウェイ率39.8% OB率32.3% バンカー率12.3%,難易度4位/9ホール中 平均スコア5.43 平均パット数1.82 パーオン率10.5% フェアウェイ率39.8% OB率32.3% バンカー率12.3%,難易度9位/9ホール中 平均スコア3.89 平均パット数1.87 パーオン率26.5% フェアウェイ率- OB率4.5% バンカー率35.5%,難易度9位/9ホール中 平均スコア3.89 平均パット数1.87 パーオン率26.5% フェアウェイ率- OB率4.5% バンカー率35.5%,難易度9位/9ホール中 平均スコア3.89 平均パット数1.87 パーオン率26.5% フェアウェイ率- OB率4.5% バンカー率35.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：326yd,Hdcp：7,PAR：5,Reg.：473yd,Hdcp：4,PAR：4,Reg.：393yd,Hdcp：1
5,短いミドルホール,短いミドルホール,短いミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,長いミドルホール,長いミドルホール,長いミドルホール
6,難易度6位/9ホール中 平均スコア5.39 平均パット数1.97 パーオン率15.0% フェアウェイ率45.5% OB率4.7% バンカー率32.8%,難易度6位/9ホール中 平均スコア5.39 平均パット数1.97 パーオン率15.0% フェアウェイ率45.5% OB率4.7% バンカー率32.8%,難易度6位/9ホール中 平均スコア5.39 平均パット数1.97 パーオン率15.0% フェアウェイ率45.5% OB率4.7% バンカー率32.8%,難易度1位/9ホール中 平均スコア6.43 平均パット数1.98 パーオン率20.5% フェアウェイ率58.0% OB率4.3% バンカー率33.5%,難易度1位/9ホール中 平均スコア6.43 平均パット数1.98 パーオン率20.5% フェアウェイ率58.0% OB率4.3% バンカー率33.5%,難易度1位/9ホール中 平均スコア6.43 平均パット数1.98 パーオン率20.5% フェアウェイ率58.0% OB率4.3% バンカー率33.5%,難易度5位/9ホール中 平均スコア5.42 平均パット数1.97 パーオン率14.8% フェアウェイ率43.0% OB率2.7% バンカー率17.5%,難易度5位/9ホール中 平均スコア5.42 平均パット数1.97 パーオン率14.8% フェアウェイ率43.0% OB率2.7% バンカー率17.5%,難易度5位/9ホール中 平均スコア5.42 平均パット数1.97 パーオン率14.8% フェアウェイ率43.0% OB率2.7% バンカー率17.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：327yd,Hdcp：2,PAR：3,Reg.：167yd,Hdcp：3,PAR：5,Reg.：462yd,Hdcp：9
9,短いミドルホール,短いミドルホール,短いミドルホール,奥がＬ（左）グリーン,奥がＬ（左）グリーン,奥がＬ（左）グリーン,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度7位/9ホール中 平均スコア5.38 平均パット数1.94 パーオン率16.8% フェアウェイ率46.8% OB率20.8% バンカー率18.8%,難易度7位/9ホール中 平均スコア5.38 平均パット数1.94 パーオン率16.8% フェアウェイ率46.8% OB率20.8% バンカー率18.8%,難易度7位/9ホール中 平均スコア5.38 平均パット数1.94 パーオン率16.8% フェアウェイ率46.8% OB率20.8% バンカー率18.8%,難易度8位/9ホール中 平均スコア4.04 平均パット数1.94 パーオン率24.3% フェアウェイ率- OB率3.3% バンカー率31.5%,難易度8位/9ホール中 平均スコア4.04 平均パット数1.94 パーオン率24.3% フェアウェイ率- OB率3.3% バンカー率31.5%,難易度8位/9ホール中 平均スコア4.04 平均パット数1.94 パーオン率24.3% フェアウェイ率- OB率3.3% バンカー率31.5%,難易度3位/9ホール中 平均スコア6.46 平均パット数1.98 パーオン率19.5% フェアウェイ率46.0% OB率4.8% バンカー率23.0%,難易度3位/9ホール中 平均スコア6.46 平均パット数1.98 パーオン率19.5% フェアウェイ率46.0% OB率4.8% バンカー率23.0%,難易度3位/9ホール中 平均スコア6.46 平均パット数1.98 パーオン率19.5% フェアウェイ率46.0% OB率4.8% バンカー率23.0%
